Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Red-cheeked Cordon-bleu,Uraeginthus bengalus,3974,2020-07-10,09:51,Heard,-3.386379,39.914082,,1,false,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:51:50.990+0300
African Golden Oriole,Oriolus auratus,520,2020-07-10,09:45,Seen,-3.38488,39.911369,,1,false,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:45:01.188+0300
White-browed Robin Chat,Cossypha heuglini,580,2020-07-10,09:42,Heard,-3.38441,39.910458,,1,false,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:42:49.364+0300
African Harrier Hawk,Polyboroides typus,171,2020-07-10,09:37,Seen,-3.383488,39.908983,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:37:45.986+0300
African Goshawk,Accipiter tachiro toussenelii,2088,2020-07-10,09:36,Seen,-3.383357,39.908493,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:36:02.803+0300
Amethyst Sunbird,Chalcomitra amethystina,772,2020-07-10,09:28,Heard,-3.382467,39.906194,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:28:36.360+0300
Striped Kingfisher,Halcyon chelicuti,403,2020-07-10,09:27,Seen,-3.382159,39.906038,,1,false,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:27:49.490+0300
White-browed Coucal,Centropus superciliosus,1036,2020-07-10,09:24,Heard,-3.381994,39.904825,,1,false,Alive,18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:24:34.755+0300
Common Bulbul,Pycnonotus barbatus,11491,2020-07-10,09:22,Seen,-3.382158,39.904027,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:22:23.921+0300
Black-crowned Tchagra,Tchagra senegalus,715,2020-07-10,09:21,Heard,-3.382161,39.903859,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:21:57.165+0300
Bronze Mannikin,Spermestes cucullata,823,2020-07-10,09:18,Seen,-3.381088,39.90317,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:18:03.225+0300
Ring-necked Dove,Streptopelia capicola,316,2020-07-10,09:16,Seen,-3.380942,39.902718,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:16:16.384+0300
House Crow,Corvus splendens,989,2020-07-10,09:15,Seen,-3.38103,39.902596,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:15:49.483+0300
Tawny-flanked Prinia,Prinia subflava,649,2020-07-10,09:15,Heard,-3.381159,39.902395,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:15:16.020+0300
Common Drongo,Dicrurus adsimilis,517,2020-07-10,09:13,Heard,-3.381122,39.901793,,1,false,Alive,20,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:13:16.764+0300
Black Kite (resident),Milvus migrans aegyptius/parasitus,129,2020-07-10,09:12,Seen,-3.381034,39.901462,,1,false,Alive,18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:12:18.373+0300
Northern Grey-headed Sparrow (Parrot-billed),Passer griseus gongonensis,3834,2020-07-10,09:11,Heard,-3.380935,39.900988,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:11:00.515+0300
Olive Sunbird,Cyanomitra olivacea,766,2020-07-10,09:08,Heard,-3.38085,39.900206,,1,false,Alive,19,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:08:51.819+0300
Grey-headed Bushshrike,Malaconotus blanchoti,723,2020-07-10,09:08,Heard,-3.380848,39.900086,,1,false,Alive,18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:08:39.610+0300
Collared Sunbird,Hedydipna collaris,771,2020-07-10,09:08,Heard,-3.380827,39.899926,,1,false,Alive,18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:08:13.772+0300
Emerald-spotted Wood Dove,Turtur chalcospilos,321,2020-07-10,09:07,Heard,-3.380814,39.899741,,1,false,Alive,20,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:07:49.933+0300
African Palm Swift,Cypsiurus parvus,387,2020-07-10,09:07,Seen,-3.380797,39.899703,,1,false,Alive,21,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:07:40.565+0300
Mombasa Woodpecker,Campethera mombassica,1366,2020-07-10,09:07,Heard,-3.380787,39.89947,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:07:14.456+0300
Village Weaver,Ploceus cucullatus,797,2020-07-10,09:06,Seen,-3.380743,39.899241,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:06:38.324+0300
Black-backed Puffback,Dryoscopus cubla,712,2020-07-10,09:06,Heard,-3.380719,39.899019,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:06:09.054+0300
Unidentified,Unidentified,0,2020-07-10,09:06,Seen,-3.38073,39.898866,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:06:00.449+0300
Unidentified,Unidentified,0,2020-07-10,09:05,Seen,-3.380722,39.898763,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T09:05:56.904+0300
African Palm Swift,Cypsiurus parvus,387,2020-07-10,08:56,Seen,-3.380576,39.896222,,1,false,Alive,18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:56:08.885+0300
Little Swift,Apus affinis,385,2020-07-10,08:55,Seen,-3.380549,39.89617,,1,false,Alive,18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:55:52.051+0300
Great Sparrowhawk,Accipiter melanoleucus,159,2020-07-10,08:54,Seen,-3.380377,39.895743,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:54:21.852+0300
Common Drongo,Dicrurus adsimilis,517,2020-07-10,08:52,Seen,-3.380123,39.895216,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:52:46.726+0300
Red-billed Quelea,Quelea quelea,805,2020-07-10,08:50,Seen,-3.379782,39.894573,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:50:52.645+0300
Northern Grey-headed Sparrow (Parrot-billed),Passer griseus gongonensis,3834,2020-07-10,08:48,Heard,-3.379447,39.893972,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:48:33.889+0300
Collared Sunbird,Hedydipna collaris,771,2020-07-10,08:46,Seen,-3.379085,39.893253,,1,false,Alive,14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:46:28.500+0300
Black-headed Oriole,Oriolus larvatus,521,2020-07-10,08:43,Heard,-3.379757,39.892822,,1,false,Alive,18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:43:37.830+0300
Striped Kingfisher,Halcyon chelicuti,403,2020-07-10,08:42,Heard,-3.380002,39.89278,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:42:02.514+0300
Klaas's Cuckoo,Chrysococcyx klaas,351,2020-07-10,08:41,Heard,-3.380182,39.892742,,1,false,Alive,18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:41:11.857+0300
Speckled Mousebird,Colius striatus,390,2020-07-10,08:39,Heard,-3.380892,39.892592,,1,false,Alive,25,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:39:25.668+0300
Black-crowned Tchagra,Tchagra senegalus,715,2020-07-10,08:39,Heard,-3.380922,39.892578,,1,false,Alive,23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:39:18.621+0300
Common Bulbul,Pycnonotus barbatus,11491,2020-07-10,08:39,Heard,-3.380934,39.89258,,1,false,Alive,23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:39:09.513+0300
Yellow-fronted Canary,Crithagra mozambica,859,2020-07-10,08:37,Heard,-3.381346,39.892456,,1,false,Alive,25,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:37:44.569+0300
African Paradise Flycatcher,Terpsiphone viridis,682,2020-07-10,08:36,Heard,-3.381868,39.892327,,1,false,Alive,28,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:36:13.000+0300
African Golden Oriole,Oriolus auratus,520,2020-07-10,08:34,Seen,-3.382181,39.892291,,1,false,Alive,28,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:34:37.666+0300
Red-capped Robin Chat,Cossypha natalensis,579,2020-07-10,08:28,Heard,-3.383552,39.892038,,1,false,Alive,26,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:28:00.106+0300
Lizard Buzzard,Kaupifalco monogrammicus,144,2020-07-10,08:24,Heard,-3.384774,39.892016,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:24:38.031+0300
Northern Brownbul,Phyllastrephus strepitans,3024,2020-07-10,08:23,Heard,-3.38487,39.892548,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:23:20.739+0300
Fischer's Greenbul,Phyllastrephus fischeri,2998,2020-07-10,08:21,Heard,-3.384922,39.892864,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:21:12.670+0300
Red-eyed Dove,Streptopelia semitorquata,314,2020-07-10,08:20,Heard,-3.384978,39.893082,,1,false,Alive,19,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:20:39.827+0300
Grey-backed Camaroptera,Camaroptera brachyura,627,2020-07-10,08:19,Heard,-3.385091,39.893672,,1,false,Alive,20,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:19:10.424+0300
Ring-necked Dove,Streptopelia capicola,316,2020-07-10,08:13,Heard,-3.385469,39.895964,,1,false,Alive,20,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:13:49.744+0300
White-browed Coucal,Centropus superciliosus,1036,2020-07-10,08:11,Seen,-3.385556,39.896728,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:11:41.118+0300
Scaly Babbler,Turdoides squamulata,3462,2020-07-10,08:11,Heard,-3.38562,39.896869,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:11:14.078+0300
Emerald-spotted Wood Dove,Turtur chalcospilos,321,2020-07-10,08:09,Heard,-3.385705,39.897559,,1,false,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:09:13.326+0300
Tawny-flanked Prinia,Prinia subflava,649,2020-07-10,08:09,Heard,-3.385749,39.897631,,1,false,Alive,14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:09:03.559+0300
Olive Sunbird,Cyanomitra olivacea,766,2020-07-10,08:08,Heard,-3.385793,39.897768,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:08:36.089+0300
Eastern Nicator,Nicator gularis,725,2020-07-10,08:08,Heard,-3.385798,39.897944,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:08:13.217+0300
Village Weaver,Ploceus cucullatus,797,2020-07-10,08:08,Seen,-3.385817,39.897978,,1,false,Alive,13,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:08:02.833+0300
Green Barbet,Cryptolybia olivacea,435,2020-07-10,08:07,Heard,-3.385885,39.898194,,1,false,Alive,14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:07:23.801+0300
East Coast Boubou,Laniarius sublacteus,7867,2020-07-10,08:07,Heard,-3.38592,39.89829,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:07:12.032+0300
African Pied Wagtail,Motacilla aguimp,685,2020-07-10,08:07,Seen,-3.385932,39.89833,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:07:03.732+0300
Unidentified,Unidentified,0,2020-07-10,08:06,Seen,-3.385919,39.898367,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:06:42.279+0300
Unidentified,Unidentified,0,2020-07-10,08:06,Seen,-3.385917,39.898386,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:06:38.149+0300
African Palm Swift,Cypsiurus parvus,387,2020-07-10,08:03,Seen,-3.386158,39.899521,,1,false,Alive,19,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:03:55.022+0300
Village Weaver,Ploceus cucullatus,797,2020-07-10,08:01,Seen,-3.38631,39.900512,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-10T08:01:08.999+0300
