Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Unidentified,Unidentified,0,2020-08-18,10:09,Seen,-3.319292,40.012396,,1,false,Alive,-8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T10:09:03.098+0300
House Crow,Corvus splendens,989,2020-08-18,10:05,Seen,-3.319961,40.012362,,1,false,Alive,-17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T10:05:49.877+0300
Purple-banded Sunbird,Cinnyris bifasciatus,756,2020-08-18,10:04,Seen,-3.319748,40.012274,,1,false,Alive,-14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T10:04:41.046+0300
Tawny-flanked Prinia,Prinia subflava,649,2020-08-18,10:03,Heard,-3.319672,40.011943,,1,false,Alive,-22,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T10:03:19.483+0300
Common Drongo,Dicrurus adsimilis,517,2020-08-18,09:59,Heard,-3.319531,40.011106,,1,false,Alive,-19,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:59:39.585+0300
Violet-backed Starling,Cinnyricinclus leucogaster,736,2020-08-18,09:57,Seen,-3.320063,40.011036,,1,false,Alive,-17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:57:47.930+0300
Speckled Mousebird,Colius striatus,390,2020-08-18,09:53,Seen,-3.321224,40.011215,,1,false,Alive,-17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:53:32.192+0300
Emerald-spotted Wood Dove,Turtur chalcospilos,321,2020-08-18,09:52,Heard,-3.321324,40.011231,,1,false,Alive,-15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:52:50.590+0300
Zanzibar Greenbul,Andropadus importunus,551,2020-08-18,09:52,Heard,-3.321336,40.01125,,1,false,Alive,-15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:52:41.522+0300
Collared Sunbird,Hedydipna collaris,771,2020-08-18,09:47,Seen,-3.32195,40.010721,,1,false,Alive,-12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:47:51.880+0300
Zanzibar Greenbul,Andropadus importunus,551,2020-08-18,09:36,Heard,-3.321844,40.009993,,1,false,Alive,-13,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:36:23.149+0300
White-browed Coucal,Centropus superciliosus,1036,2020-08-18,09:34,Heard,-3.321872,40.00966,,1,false,Alive,-13,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:34:23.492+0300
Winding Cisticola (Coastal),Cisticola galactotes haematocephalus,3132,2020-08-18,09:34,Heard,-3.321872,40.009587,,1,false,Alive,-17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:34:00.301+0300
Speckled Mousebird,Colius striatus,390,2020-08-18,09:33,Heard,-3.321889,40.009521,,1,false,Alive,-20,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:33:46.064+0300
Amethyst Sunbird,Chalcomitra amethystina,772,2020-08-18,09:33,Seen,-3.321883,40.009488,,1,false,Alive,-22,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:33:35.680+0300
Bronze Mannikin,Spermestes cucullata,823,2020-08-18,09:33,Seen,-3.321882,40.009378,,1,false,Alive,-15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:33:13.008+0300
Emerald-spotted Wood Dove,Turtur chalcospilos,321,2020-08-18,09:30,Heard,-3.321986,40.008832,,1,false,Alive,-17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:30:42.666+0300
Black-crowned Tchagra,Tchagra senegalus,715,2020-08-18,09:28,Heard,-3.321997,40.008383,,1,false,Alive,-14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:28:56.268+0300
Lesser Striped Swallow,Cecropis abyssinica,503,2020-08-18,09:26,Heard,-3.322106,40.00779,,1,false,Alive,-23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:26:29.616+0300
Pale Flycatcher,Bradornis pallidus,662,2020-08-18,09:26,Seen,-3.322059,40.007733,,1,false,Alive,-14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:26:19.252+0300
Red-eyed Dove,Streptopelia semitorquata,314,2020-08-18,09:25,Heard,-3.322088,40.007621,,1,false,Alive,-13,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:25:22.566+0300
Common Bulbul,Pycnonotus barbatus,11491,2020-08-18,09:25,Heard,-3.322086,40.007577,,1,false,Alive,-8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:25:08.947+0300
Lizard Buzzard,Kaupifalco monogrammicus,144,2020-08-18,09:21,Heard,-3.322118,40.007211,,1,false,Alive,-4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:21:58.843+0300
Village Weaver,Ploceus cucullatus,797,2020-08-18,09:21,Seen,-3.322113,40.007218,,1,false,Alive,-3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:21:50.214+0300
Common Drongo,Dicrurus adsimilis,517,2020-08-18,09:17,Seen,-3.322242,40.006308,,1,false,Alive,-17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:17:24.910+0300
Black-bellied Starling,Notopholia corusca,740,2020-08-18,09:12,Seen,-3.322279,40.005422,,1,false,Alive,-19,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:12:55.974+0300
House Crow,Corvus splendens,989,2020-08-18,09:11,Heard,-3.322308,40.005352,,1,false,Alive,-17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:11:38.859+0300
Little Swift,Apus affinis,385,2020-08-18,09:11,Seen,-3.322295,40.005316,,1,false,Alive,-21,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:11:24.013+0300
African Golden Oriole,Oriolus auratus,520,2020-08-18,09:10,Heard,-3.322332,40.005241,,1,false,Alive,-17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:10:41.051+0300
African Palm Swift,Cypsiurus parvus,387,2020-08-18,09:10,Seen,-3.322327,40.005196,,1,false,Alive,-19,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:10:28.178+0300
Tawny-flanked Prinia,Prinia subflava,649,2020-08-18,09:10,Heard,-3.322302,40.005168,,1,false,Alive,-15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:10:03.995+0300
Ring-necked Dove,Streptopelia capicola,316,2020-08-18,09:09,Heard,-3.322295,40.005133,,1,false,Alive,-11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:09:50.094+0300
