Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Barn Swallow,Hirundo rustica,493,2021-04-17,08:51,Seen,-3.357982,39.999737,,1,false,Alive,14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-17,,2021-04-17T08:51:26.194+0300
Hadeda,Bostrychia hagedash,84,2021-04-17,08:36,Seen,-3.358504,39.996635,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-17,,2021-04-17T08:36:26.207+0300
White-browed Coucal,Centropus superciliosus,1036,2021-04-17,08:33,Seen,-3.35791,39.995912,,1,false,Alive,14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-17,,2021-04-17T08:33:11.822+0300
African Cuckoo,Cuculus gularis,341,2021-04-17,08:32,Seen,-3.357863,39.995841,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-17,,2021-04-17T08:32:59.969+0300
Northern Grey-headed Sparrow (Parrot-billed),Passer griseus gongonensis,3834,2021-04-17,08:31,Seen,-3.357586,39.995455,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-17,,2021-04-17T08:31:50.455+0300
Black-backed Puffback,Dryoscopus cubla,712,2021-04-17,08:30,Heard,-3.357355,39.995154,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-17,,2021-04-17T08:30:20.592+0300
Zanzibar Greenbul,Andropadus importunus,551,2021-04-17,08:28,Heard,-3.356923,39.994462,,1,false,Alive,14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-17,,2021-04-17T08:28:03.023+0300
Eurasian Golden Oriole,Oriolus oriolus,519,2021-04-17,08:14,Seen,-3.355062,39.992148,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-17,,2021-04-17T08:14:46.670+0300
Black-crowned Tchagra,Tchagra senegalus,715,2021-04-17,08:13,Heard,-3.355134,39.99226,,1,false,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-17,,2021-04-17T08:13:20.148+0300
Violet-backed Starling,Cinnyricinclus leucogaster,736,2021-04-17,08:13,Seen,-3.355127,39.992257,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-17,,2021-04-17T08:13:14.373+0300
