Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Unidentified,Unidentified,0,2021-04-10,10:00,Seen,-3.32257,39.972498,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-04-10,,2021-04-10T10:00:18.490+0300
African Fish Eagle,African Fish Eagle,149,2021-04-10,09:58,Seen,-3.322235,39.97326,,1,false,Alive,1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-04-10,,2021-04-10T09:58:56.602+0300
Black-bellied Starling,Black-bellied Starling,740,2021-04-10,09:58,Seen,-3.322172,39.973507,,1,false,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-04-10,,2021-04-10T09:58:09.666+0300
Common Drongo,Fork-tailed Drongo,517,2021-04-10,09:53,Seen,-3.321282,39.976022,,1,false,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-04-10,,2021-04-10T09:53:56.073+0300
Red-fronted Tinkerbird,Red-fronted Tinkerbird,436,2021-04-10,09:52,Heard,-3.32117,39.976655,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-04-10,,2021-04-10T09:52:49.029+0300
Olive Sunbird,Olive Sunbird,766,2021-04-10,09:52,Seen,-3.321087,39.976972,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-04-10,,2021-04-10T09:52:16.142+0300
Spotted Flycatcher,Spotted Flycatcher,654,2021-04-10,09:47,Seen,-3.320947,39.978535,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-04-10,,2021-04-10T09:47:59.574+0300
Willow Warbler,Willow Warbler,599,2021-04-10,09:47,Seen,-3.320948,39.978818,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-04-10,,2021-04-10T09:47:34.525+0300
Amethyst Sunbird,Amethyst Sunbird,772,2021-04-10,09:41,Seen,-3.320922,39.980672,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-04-10,,2021-04-10T09:41:57.723+0300
Ring-necked Dove,Ring-necked Dove,316,2021-04-10,09:32,Heard,-3.320758,39.984542,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-04-10,,2021-04-10T09:32:50.547+0300
