Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Unidentified,Unidentified,0,2021-04-19,10:00,Seen,-3.348361,39.967617,,1,false,Alive,-18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T10:00:02.247+0300
Grassland Pipit,Anthus cinnamomeus,692,2021-04-19,09:45,Seen,-3.347918,39.970033,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:45:51.196+0300
Hadeda,Bostrychia hagedash,84,2021-04-19,09:45,Seen,-3.347893,39.970082,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:45:21.600+0300
Sacred Ibis,Threskiornis aethiopicus,81,2021-04-19,09:45,Seen,-3.347887,39.97009,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:45:06.900+0300
Red-cheeked Cordon-bleu,Uraeginthus bengalus,3974,2021-04-19,09:44,Heard,-3.347887,39.970077,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:44:57.152+0300
Pale Flycatcher,Bradornis pallidus,662,2021-04-19,09:42,Seen,-3.34726,39.97025,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:42:03.479+0300
East Coast Boubou,Laniarius sublacteus,7867,2021-04-19,09:37,Heard,-3.346655,39.970264,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:37:13.618+0300
Jacobin Cuckoo,Clamator jacobinus,348,2021-04-19,09:34,Seen,-3.346287,39.970341,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:34:17.136+0300
White-browed Coucal,Centropus superciliosus,1036,2021-04-19,09:31,Heard,-3.345755,39.970679,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:31:46.392+0300
Black-bellied Starling,Notopholia corusca,740,2021-04-19,09:31,Heard,-3.345697,39.970713,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:31:35.162+0300
Black-headed Oriole,Oriolus larvatus,521,2021-04-19,09:26,Heard,-3.345771,39.971299,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:26:06.334+0300
African Bare-eyed Thrush,Turdus tephronotus,2750,2021-04-19,09:25,Heard,-3.345909,39.971367,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:25:38.103+0300
Eurasian Golden Oriole,Oriolus oriolus,519,2021-04-19,09:23,Seen,-3.346132,39.971427,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:23:54.660+0300
Olive Sunbird,Cyanomitra olivacea,766,2021-04-19,09:22,Seen,-3.346342,39.971544,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:22:53.299+0300
Violet-backed Starling,Cinnyricinclus leucogaster,736,2021-04-19,09:22,Seen,-3.346407,39.971575,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:22:19.041+0300
Northern Grey-headed Sparrow (Parrot-billed),Passer griseus gongonensis,3834,2021-04-19,09:21,Seen,-3.346424,39.971594,,1,false,Alive,6,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:21:59.282+0300
Collared Sunbird,Hedydipna collaris,771,2021-04-19,09:15,Seen,-3.348597,39.97139,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:15:26.815+0300
Black-crowned Tchagra,Tchagra senegalus,715,2021-04-19,09:13,Heard,-3.349104,39.971248,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:13:43.944+0300
Village Weaver,Ploceus cucullatus,797,2021-04-19,09:13,Heard,-3.349138,39.971251,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:13:37.344+0300
African Pied Wagtail,Motacilla aguimp,685,2021-04-19,09:13,Seen,-3.349166,39.971253,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:13:27.292+0300
Speckled Mousebird,Colius striatus,390,2021-04-19,09:13,Seen,-3.349273,39.97123,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:13:08.570+0300
Tawny-flanked Prinia,Prinia subflava,649,2021-04-19,09:12,Seen,-3.349341,39.97123,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:12:55.637+0300
White-browed Robin Chat,Cossypha heuglini,580,2021-04-19,09:12,Seen,-3.34939,39.971249,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:12:41.745+0300
African Cuckoo,Cuculus gularis,341,2021-04-19,09:08,Seen,-3.350405,39.970503,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:08:19.862+0300
African Palm Swift,Cypsiurus parvus,387,2021-04-19,09:06,Seen,-3.350612,39.969977,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:06:42.836+0300
Barn Swallow,Hirundo rustica,493,2021-04-19,09:04,Seen,-3.351386,39.96984,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:04:00.015+0300
Common Drongo,Dicrurus adsimilis,517,2021-04-19,09:03,Seen,-3.351498,39.969764,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:03:32.874+0300
Black-headed Oriole,Oriolus larvatus,521,2021-04-19,09:02,Seen,-3.351646,39.969533,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:02:22.789+0300
Dodson's Bulbul,Pycnonotus barbatus dodsoni,3032,2021-04-19,09:01,Seen,-3.351698,39.969292,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:01:50.904+0300
Zanzibar Greenbul,Andropadus importunus,551,2021-04-19,09:01,Heard,-3.351739,39.969284,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:01:32.293+0300
Amethyst Sunbird,Chalcomitra amethystina,772,2021-04-19,09:01,Heard,-3.351765,39.969227,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:01:13.145+0300
Purple-banded Sunbird,Cinnyris bifasciatus,756,2021-04-19,09:00,Heard,-3.351883,39.969303,,1,false,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:00:54.842+0300
Unidentified,Unidentified,0,2021-04-19,09:00,Seen,-3.351955,39.969342,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:00:10.429+0300
Unidentified,Unidentified,0,2021-04-19,09:00,Seen,-3.351943,39.969361,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T09:00:06.454+0300
Mangrove Kingfisher,Halcyon senegaloides,400,2021-04-19,08:46,Seen,-3.353138,39.971057,We saw mk calling just near us on a tree  then another mk join probably the previous one,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T08:46:36.207+0300
Common Drongo,Dicrurus adsimilis,517,2021-04-19,08:39,Seen,-3.35322,39.971263,,1,false,Alive,6,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T08:39:17.343+0300
Black Kite (resident),Milvus migrans aegyptius/parasitus,129,2021-04-19,08:31,Seen,-3.353595,39.972482,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-19,,2021-04-19T08:31:11.861+0300
