Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Unidentified,Unidentified,0,2021-04-10,10:00,Seen,-3.386928,39.929447,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-10,,2021-04-10T10:00:03.958+0300
African Palm Swift,Cypsiurus parvus,387,2021-04-10,09:51,Seen,-3.388429,39.929081,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-10,,2021-04-10T09:51:23.602+0300
African Pied Wagtail,Motacilla aguimp,685,2021-04-10,09:29,Heard,-3.392755,39.926363,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-10,,2021-04-10T09:29:20.025+0300
Black-bellied Starling,Notopholia corusca,740,2021-04-10,09:29,Seen,-3.392772,39.926362,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-10,,2021-04-10T09:29:11.321+0300
Red-cheeked Cordon-bleu,Uraeginthus bengalus,3974,2021-04-10,09:26,Heard,-3.393394,39.926278,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-10,,2021-04-10T09:26:24.544+0300
Striped Kingfisher,Halcyon chelicuti,403,2021-04-10,09:21,Heard,-3.394357,39.926891,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-10,,2021-04-10T09:21:23.558+0300
Dodson's Bulbul,Pycnonotus barbatus dodsoni,3032,2021-04-10,09:20,Heard,-3.394391,39.92715,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-10,,2021-04-10T09:20:22.911+0300
Village Weaver,Ploceus cucullatus,797,2021-04-10,09:19,Heard,-3.394453,39.92733,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-10,,2021-04-10T09:19:12.186+0300
Yellow-fronted Canary,Crithagra mozambica,859,2021-04-10,09:18,Heard,-3.394466,39.927306,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-10,,2021-04-10T09:18:40.005+0300
Little Swift,Apus affinis,385,2021-04-10,09:16,Seen,-3.394753,39.927736,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-10,,2021-04-10T09:16:47.356+0300
Emerald-spotted Wood Dove,Turtur chalcospilos,321,2021-04-10,09:16,Heard,-3.394911,39.92785,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-10,,2021-04-10T09:16:00.689+0300
Black-backed Puffback,Dryoscopus cubla,712,2021-04-10,09:15,Heard,-3.394913,39.927898,,1,false,Alive,6,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-10,,2021-04-10T09:15:48.175+0300
Ring-necked Dove,Streptopelia capicola,316,2021-04-10,09:12,Heard,-3.395923,39.928564,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-10,,2021-04-10T09:12:03.984+0300
Amethyst Sunbird,Chalcomitra amethystina,772,2021-04-10,09:11,Seen,-3.39598,39.92873,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-04-10,,2021-04-10T09:11:27.585+0300
