Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Bronze Mannikin,Spermestes cucullata,823,2020-06-09,09:48,Seen,-3.351905,39.916406,,1,false,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-06-09,,2020-06-09T09:48:06.469+0300
Village Weaver,Ploceus cucullatus,797,2020-06-09,09:36,Heard,-3.355001,39.913529,,1,false,Alive,23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-06-09,,2020-06-09T09:36:32.543+0300
Pale Flycatcher,Bradornis pallidus,662,2020-06-09,09:34,Seen,-3.354844,39.912779,,1,false,Alive,21,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-06-09,,2020-06-09T09:34:53.912+0300
Red-cheeked Cordon-bleu,Uraeginthus bengalus,3974,2020-06-09,09:32,Heard,-3.354884,39.911584,,1,false,Alive,22,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-06-09,,2020-06-09T09:32:04.447+0300
Purple-banded Sunbird,Cinnyris bifasciatus,756,2020-06-09,09:31,Seen,-3.354849,39.91145,,1,false,Alive,21,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-06-09,,2020-06-09T09:31:47.677+0300
Tawny-flanked Prinia,Prinia subflava,649,2020-06-09,09:26,Heard,-3.354142,39.909266,,1,false,Alive,25,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-06-09,,2020-06-09T09:26:50.383+0300
African Palm Swift,Cypsiurus parvus,387,2020-06-09,09:26,Seen,-3.354134,39.909202,,1,false,Alive,23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-06-09,,2020-06-09T09:26:38.842+0300
Striped Kingfisher,Halcyon chelicuti,403,2020-06-09,09:25,Heard,-3.354055,39.908878,,1,false,Alive,25,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-06-09,,2020-06-09T09:25:55.586+0300
Ring-necked Dove,Streptopelia capicola,316,2020-06-09,09:24,Heard,-3.353881,39.90836,,1,false,Alive,28,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-06-09,,2020-06-09T09:24:47.831+0300
Common Drongo,Dicrurus adsimilis,517,2020-06-09,09:24,Seen,-3.353838,39.908228,,1,false,Alive,29,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-06-09,,2020-06-09T09:24:25.014+0300
