Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Trumpeter Hornbill,Bycanistes bucinator,422,2020-05-19,11:26,Seen,-3.325782,39.965303,,1,false,Alive,1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-19,,2020-05-19T11:26:09.750+0300
African Spoonbill,Platalea alba,85,2020-05-19,11:10,Seen,-3.325848,39.965352,,1,false,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-19,,2020-05-19T11:10:11.026+0300
Pale Flycatcher,Bradornis pallidus,662,2020-05-19,11:08,Seen,-3.325358,39.965906,,1,false,Alive,1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-19,,2020-05-19T11:08:00.676+0300
Pin-tailed Whydah,Vidua macroura,846,2020-05-19,11:06,Seen,-3.324975,39.966106,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-19,,2020-05-19T11:06:51.075+0300
African Paradise Flycatcher,Terpsiphone viridis,682,2020-05-19,11:03,Seen,-3.32504,39.967018,,1,false,Alive,26,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-19,,2020-05-19T11:03:50.993+0300
Great White Egret,Ardea alba,58,2020-05-19,10:54,Seen,-3.323663,39.969999,,1,false,Alive,1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-19,,2020-05-19T10:54:54.077+0300
Sacred Ibis,Threskiornis aethiopicus,81,2020-05-19,10:51,Seen,-3.32319,39.971165,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-19,,2020-05-19T10:51:57.455+0300
Striated Heron,Butorides striata,63,2020-05-19,10:48,Seen,-3.322164,39.97131,,1,false,Alive,6,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-19,,2020-05-19T10:48:52.215+0300
Bronze Mannikin,Spermestes cucullata,823,2020-05-19,10:45,Seen,-3.322002,39.97165,,1,false,Alive,1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-19,,2020-05-19T10:45:45.925+0300
Amethyst Sunbird,Chalcomitra amethystina,772,2020-05-19,10:36,Seen,-3.321456,39.975574,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-19,,2020-05-19T10:36:43.962+0300
Retz's Helmet-shrike,Prionops retzii,728,2020-05-19,10:33,Seen,-3.321383,39.975728,,1,false,Alive,-1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-19,,2020-05-19T10:33:36.886+0300
Whimbrel,Numenius phaeopus,268,2020-05-19,10:26,Seen,-3.321367,39.975771,,1,false,Alive,1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-19,,2020-05-19T10:26:45.636+0300
Mangrove Kingfisher,Halcyon senegaloides,400,2020-05-19,10:21,Seen,-3.321368,39.975787,"He flew around the bushes,then respond to the call",1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-19,,2020-05-19T10:21:21.144+0300
Olive Sunbird,Cyanomitra olivacea,766,2020-05-19,09:46,Seen,-3.318562,39.987622,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-19,,2020-05-19T09:46:53.536+0300
Zanzibar Greenbul,Andropadus importunus,551,2020-05-19,09:43,Seen,-3.318598,39.987636,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-19,,2020-05-19T09:43:29.164+0300
Hadeda,Bostrychia hagedash,84,2020-05-19,09:39,Heard,-3.31814,39.988059,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-19,,2020-05-19T09:39:47.292+0300
Black-bellied Starling,Notopholia corusca,740,2020-05-19,09:37,Seen,-3.317388,39.988507,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-19,,2020-05-19T09:37:58.488+0300
