Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Unidentified,Unidentified,0,2021-03-13,10:00,Seen,-3.301376,40.011409,,1,false,Alive,23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-12,,2021-03-13T10:00:05.905+0300
House Sparrow,Passer domesticus,784,2021-03-13,10:00,Seen,-3.30132,40.011448,,1,false,Alive,23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-12,,2021-03-13T10:00:01.112+0300
Northern Carmine Bee-eater,Merops nubicus,1576,2021-03-13,09:48,Seen,-3.297993,40.01174,,1,false,Alive,30,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-12,,2021-03-13T09:48:33.358+0300
Black-headed Heron,Ardea melanocephala,55,2021-03-13,09:47,Seen,-3.297984,40.01172,,1,false,Alive,29,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-12,,2021-03-13T09:47:55.467+0300
Black-bellied Starling,Notopholia corusca,740,2021-03-13,09:37,Seen,-3.294281,40.011753,,1,false,Alive,19,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-12,,2021-03-13T09:37:03.208+0300
Black-headed Oriole,Oriolus larvatus,521,2021-03-13,09:26,Heard,-3.291262,40.011798,,1,false,Alive,23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-12,,2021-03-13T09:26:26.640+0300
Emerald-spotted Wood Dove,Turtur chalcospilos,321,2021-03-13,09:21,Heard,-3.290364,40.011723,,1,false,Alive,27,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-12,,2021-03-13T09:21:38.675+0300
Little Swift,Apus affinis,385,2021-03-13,09:21,Seen,-3.290322,40.011712,,1,false,Alive,28,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-12,,2021-03-13T09:21:27.370+0300
Common Drongo,Dicrurus adsimilis,517,2021-03-13,09:20,Heard,-3.290053,40.011743,,1,false,Alive,26,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-12,,2021-03-13T09:20:16.166+0300
White-throated Bee-eater,Merops albicollis,1034,2021-03-13,09:18,Seen,-3.289898,40.011741,,1,false,Alive,26,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-12,,2021-03-13T09:18:27.268+0300
Yellow-fronted Canary,Crithagra mozambica,859,2021-03-13,09:17,Heard,-3.289816,40.011757,,1,false,Alive,27,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-12,,2021-03-13T09:17:42.674+0300
Barn Swallow,Hirundo rustica,493,2021-03-13,09:15,Seen,-3.288902,40.011692,,1,false,Alive,28,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-12,,2021-03-13T09:15:39.930+0300
Dodson's Bulbul,Pycnonotus barbatus dodsoni,3032,2021-03-13,09:15,Heard,-3.288676,40.011734,,1,false,Alive,27,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-12,,2021-03-13T09:15:09.210+0300
Collared Sunbird,Hedydipna collaris,771,2021-03-13,09:14,Seen,-3.288415,40.011753,,1,false,Alive,35,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-12,,2021-03-13T09:14:23.413+0300
Village Weaver,Ploceus cucullatus,797,2021-03-13,09:07,Seen,-3.286862,40.013905,,1,false,Alive,31,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-12,,2021-03-13T09:07:05.988+0300
