Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Amethyst Sunbird,Amethyst Sunbird,772,2021-03-17,08:39,Seen,-3.357197,39.999612,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-17,,2021-03-17T08:39:25.886+0300
Red-cheeked Cordon-bleu,Red-cheeked Cordon-bleu,3974,2021-03-17,08:36,Heard,-3.358113,39.99965,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-17,,2021-03-17T08:36:16.447+0300
Black-crowned Tchagra,Black-crowned Tchagra,715,2021-03-17,08:36,Heard,-3.35811,39.999658,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-17,,2021-03-17T08:36:03.738+0300
African Pied Wagtail,African Pied Wagtail,685,2021-03-17,08:34,Seen,-3.35844,39.999613,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-17,,2021-03-17T08:34:45.051+0300
European Bee-eater,European Bee-eater,404,2021-03-17,08:34,Heard,-3.358458,39.99963,,1,false,Alive,18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-17,,2021-03-17T08:34:23.650+0300
House Sparrow,House Sparrow,784,2021-03-17,08:32,Seen,-3.358892,39.99967,,1,false,Alive,19,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-17,,2021-03-17T08:32:34.710+0300
Yellow-fronted Canary,Yellow-fronted Canary,859,2021-03-17,08:28,Heard,-3.359748,39.998985,,1,false,Alive,20,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-17,,2021-03-17T08:28:34.645+0300
Barn Swallow,Barn Swallow,493,2021-03-17,08:27,Seen,-3.359448,39.998555,,1,false,Alive,21,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-17,,2021-03-17T08:27:18.164+0300
Tawny-flanked Prinia,Tawny-flanked Prinia,649,2021-03-17,08:22,Heard,-3.358467,39.996892,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-17,,2021-03-17T08:22:33.105+0300
Golden Palm Weaver,Golden Palm Weaver,3898,2021-03-17,08:22,Seen,-3.358445,39.996887,,1,false,Alive,1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-17,,2021-03-17T08:22:23.435+0300
Red-fronted Tinkerbird,Red-fronted Tinkerbird,436,2021-03-17,08:21,Heard,-3.358448,39.99698,,1,false,Alive,1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-17,,2021-03-17T08:21:49.553+0300
White-browed Coucal,White-browed Coucal,1036,2021-03-17,08:17,Seen,-3.35794,39.99607,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-17,,2021-03-17T08:17:57.050+0300
Grey-headed Bushshrike,Grey-headed Bushshrike,723,2021-03-17,08:15,Heard,-3.357662,39.99558,,1,false,Alive,1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-17,,2021-03-17T08:15:56.212+0300
Lizard Buzzard,Lizard Buzzard,144,2021-03-17,08:14,Heard,-3.357543,39.995403,,1,false,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-03-17,,2021-03-17T08:14:41.752+0300
