Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Lizard Buzzard,Lizard Buzzard,144,2021-03-15,09:25,Heard,-3.320458,40.000035,,1,false,Alive,6,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-15,,2021-03-15T09:25:59.129+0300
Spotted Palm Thrush,Spotted Palm Thrush,2560,2021-03-15,09:24,Heard,-3.320503,40.000052,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-15,,2021-03-15T09:24:02.890+0300
Black-backed Puffback,Black-backed Puffback,712,2021-03-15,09:23,Heard,-3.320572,40.000053,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-15,,2021-03-15T09:23:11.828+0300
White-browed Robin Chat,White-browed Robin-Chat,580,2021-03-15,09:21,Heard,-3.320815,40.000075,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-15,,2021-03-15T09:21:44.890+0300
European Bee-eater,European Bee-eater,404,2021-03-15,09:19,Seen,-3.3211,40.00018,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-15,,2021-03-15T09:19:26.097+0300
Grey-backed Camaroptera,Green-backed Camaroptera,627,2021-03-15,09:18,Heard,-3.321245,40.000175,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-15,,2021-03-15T09:18:35.468+0300
Broad-billed Roller,Broad-billed Roller,416,2021-03-15,09:16,Seen,-3.32154,40.000158,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-15,,2021-03-15T09:16:05.567+0300
Barn Swallow,Barn Swallow,493,2021-03-15,09:13,Seen,-3.32168,40.000158,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-15,,2021-03-15T09:13:32.817+0300
Emerald-spotted Wood Dove,Emerald-spotted Wood Dove,321,2021-03-15,09:11,Heard,-3.321897,40.000245,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-15,,2021-03-15T09:11:46.240+0300
Pale Flycatcher,Pale Flycatcher,662,2021-03-15,09:09,Seen,-3.322413,40.000282,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-15,,2021-03-15T09:09:17.840+0300
Black-crowned Tchagra,Black-crowned Tchagra,715,2021-03-15,09:08,Heard,-3.322427,40.000247,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-15,,2021-03-15T09:08:37.245+0300
Tawny-flanked Prinia,Tawny-flanked Prinia,649,2021-03-15,09:07,Heard,-3.322572,40.000295,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-15,,2021-03-15T09:07:52.627+0300
Red-cheeked Cordon-bleu,Red-cheeked Cordon-bleu,3974,2021-03-15,09:07,Heard,-3.322637,40.000307,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-15,,2021-03-15T09:07:11.981+0300
Speckled Mousebird,Speckled Mousebird,390,2021-03-15,09:06,Seen,-3.322695,40.000328,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-15,,2021-03-15T09:06:30.519+0300
Black-bellied Starling,Black-bellied Starling,740,2021-03-15,09:05,Seen,-3.322785,40.00032,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-15,,2021-03-15T09:05:43.641+0300
Black-headed Oriole,Black-headed Oriole,521,2021-03-15,09:05,Heard,-3.322823,40.000265,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-15,,2021-03-15T09:05:10.887+0300
Black Kite (resident),Yellow-billed Kite,129,2021-03-15,09:04,Seen,-3.32285,40.000063,,1,false,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-15,,2021-03-15T09:04:20.493+0300
Unidentified,Unidentified,0,2021-03-15,10:00,Seen,-3.311978,39.999265,,1,false,Alive,1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-03-15,,2021-03-15T10:00:04.623+0300
