Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Common Drongo,Dicrurus adsimilis,517,2021-05-15,09:09,Seen,-3.320132,39.999866,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-15,,2021-05-15T09:09:47.940+0300
Black-crowned Tchagra,Tchagra senegalus,715,2021-05-15,09:09,Heard,-3.319961,39.999884,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-15,,2021-05-15T09:09:18.585+0300
Zanzibar Greenbul,Andropadus importunus,551,2021-05-15,09:06,Heard,-3.318943,39.999713,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-15,,2021-05-15T09:06:15.047+0300
House Crow,Corvus splendens,989,2021-05-15,09:06,Seen,-3.318925,39.999707,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-15,,2021-05-15T09:06:01.636+0300
Amethyst Sunbird,Chalcomitra amethystina,772,2021-05-15,09:05,Seen,-3.31891,39.999716,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-15,,2021-05-15T09:05:54.678+0300
Winding Cisticola (Coastal),Cisticola galactotes haematocephalus,3132,2021-05-15,09:05,Seen,-3.318864,39.999707,,1,false,Alive,1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-15,,2021-05-15T09:05:44.041+0300
Red-cheeked Cordon-bleu,Uraeginthus bengalus,3974,2021-05-15,09:04,Seen,-3.316606,39.971378,,1,false,Alive,,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-15,,2021-05-15T09:04:11.335+0300
Village Weaver,Ploceus cucullatus,797,2021-05-15,09:02,Seen,-3.318068,39.999534,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-15,,2021-05-15T09:02:59.574+0300
Yellow-fronted Canary,Crithagra mozambica,859,2021-05-15,09:02,Heard,-3.31798,39.999532,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-15,,2021-05-15T09:02:41.540+0300
Tawny-flanked Prinia,Prinia subflava,649,2021-05-15,09:02,Seen,-3.317924,39.999491,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2021-05-15,,2021-05-15T09:02:25.226+0300
