Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Unidentified,Unidentified,0,2021-05-25,12:00,Seen,-3.369908,39.965063,,1,false,Alive,-15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T12:00:45.825+0300
African Fish Eagle,African Fish Eagle,149,2021-05-25,11:46,Seen,-3.367053,39.966048,,1,false,Alive,-9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T11:46:45.239+0300
Sacred Ibis,African Sacred Ibis,81,2021-05-25,11:45,Seen,-3.36676,39.966057,,1,false,Alive,-9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T11:45:25.414+0300
Yellow-billed Egret,Intermediate Egret,60,2021-05-25,11:38,Seen,-3.365422,39.96575,,1,false,Alive,-12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T11:38:53.678+0300
Woolly-necked Stork,Woolly-necked Stork,77,2021-05-25,11:33,Seen,-3.364348,39.965372,,1,false,Alive,-5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T11:33:01.451+0300
Black-headed Oriole,Black-headed Oriole,521,2021-05-25,11:22,Heard,-3.361812,39.96384,,1,false,Alive,-11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T11:22:47.737+0300
African Paradise Flycatcher,African Paradise Flycatcher,682,2021-05-25,11:22,Heard,-3.361825,39.963855,,1,false,Alive,-11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T11:22:38.107+0300
Black-crowned Tchagra,Black-crowned Tchagra,715,2021-05-25,11:15,Heard,-3.363673,39.962922,,1,false,Alive,-7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T11:15:58.917+0300
Pale Flycatcher,Pale Flycatcher,662,2021-05-25,11:12,Seen,-3.36461,39.962535,,1,false,Alive,-7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T11:12:37.727+0300
Purple-banded Sunbird,Purple-banded Sunbird,756,2021-05-25,11:11,Heard,-3.364858,39.962368,,1,false,Alive,-7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T11:11:00.380+0300
Northern Grey-headed Sparrow (Parrot-billed),Parrot-billed Sparrow,3834,2021-05-25,11:09,Seen,-3.365102,39.962253,,1,false,Alive,-7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T11:09:35.168+0300
Common Bulbul,Common Bulbul,11491,2021-05-25,11:06,Heard,-3.365878,39.961968,,1,false,Alive,-14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T11:06:06.086+0300
Common Drongo,Fork-tailed Drongo,517,2021-05-25,11:01,Heard,-3.3666,39.961755,,1,false,Alive,-16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T11:01:43.609+0300
Unidentified,Unidentified,0,2021-05-25,11:00,Seen,-3.366893,39.961587,,1,false,Alive,-15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T11:00:29.008+0300
Unidentified,Unidentified,0,2021-05-25,11:00,Seen,-3.36706,39.961513,,1,false,Alive,-15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T11:00:23.083+0300
Yellow-bellied Greenbul,Yellow-bellied Greenbul,550,2021-05-25,10:45,Seen,-3.369012,39.957892,,1,false,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:45:54.723+0300
Water Thick-knee,Water Thick-knee,274,2021-05-25,10:43,Heard,-3.368977,39.957048,,1,false,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:43:10.028+0300
Golden Palm Weaver,Golden Palm Weaver,3898,2021-05-25,10:40,Seen,-3.368932,39.956233,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:40:06.110+0300
Speckled Mousebird,Speckled Mousebird,390,2021-05-25,10:39,Seen,-3.368928,39.956232,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:39:53.454+0300
African Bare-eyed Thrush,Bare-eyed Thrush,2750,2021-05-25,10:36,Seen,-3.368992,39.95558,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:36:31.476+0300
Black-headed Oriole,Black-headed Oriole,521,2021-05-25,10:35,Heard,-3.368908,39.955302,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:35:01.297+0300
Grey-headed Bushshrike,Grey-headed Bushshrike,723,2021-05-25,10:27,Heard,-3.367945,39.953473,,1,false,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:27:41.759+0300
Common Bulbul,Common Bulbul,11491,2021-05-25,10:25,Heard,-3.367587,39.953198,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:25:04.977+0300
Black Kite (resident),Yellow-billed Kite,129,2021-05-25,10:24,Seen,-3.367582,39.953245,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:24:52.327+0300
Yellow-fronted Canary,Yellow-fronted Canary,859,2021-05-25,10:20,Seen,-3.366653,39.952388,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:20:42.135+0300
Black-bellied Starling,Black-bellied Starling,740,2021-05-25,10:19,Seen,-3.36668,39.952162,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:19:09.101+0300
Olive Sunbird,Olive Sunbird,766,2021-05-25,10:13,Seen,-3.365808,39.95075,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:13:55.795+0300
Hadeda,Hadada Ibis,84,2021-05-25,10:12,Seen,-3.36558,39.950473,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:12:41.350+0300
White-browed Coucal,White-browed Coucal,1036,2021-05-25,10:09,Seen,-3.365003,39.94961,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:09:47.066+0300
Black-crowned Tchagra,Black-crowned Tchagra,715,2021-05-25,10:04,Heard,-3.363798,39.94945,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:04:09.323+0300
Common Drongo,Fork-tailed Drongo,517,2021-05-25,10:03,Heard,-3.36376,39.949467,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:03:49.622+0300
African Palm Swift,African Palm Swift,387,2021-05-25,10:03,Seen,-3.363773,39.949462,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:03:39.800+0300
Northern Grey-headed Sparrow (Parrot-billed),Parrot-billed Sparrow,3834,2021-05-25,10:00,Seen,-3.363628,39.94972,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:00:33.028+0300
Unidentified,Unidentified,0,2021-05-25,10:00,Seen,-3.363617,39.949758,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:00:21.485+0300
Unidentified,Unidentified,0,2021-05-25,10:00,Seen,-3.363613,39.949807,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T10:00:13.979+0300
Pale Batis,Pale Batis,675,2021-05-25,09:56,Seen,-3.362878,39.950415,,1,false,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:56:00.769+0300
Pale Flycatcher,Pale Flycatcher,662,2021-05-25,09:55,Seen,-3.36284,39.950478,,1,false,Alive,13,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2021-05-25,,2021-05-25T09:55:52.987+0300
