Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Unidentified,Unidentified,0,2020-12-11,10:00,Seen,-3.302144,40.002499,,1,false,Alive,-11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-11,,2020-12-11T10:00:01.970+0300
Common Drongo,Dicrurus adsimilis,517,2020-12-11,09:56,Heard,-3.302385,40.003149,,1,false,Alive,-12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-11,,2020-12-11T09:56:20.971+0300
Red-cheeked Cordon-bleu,Uraeginthus bengalus,3974,2020-12-11,09:55,Heard,-3.302339,40.003435,,1,false,Alive,-16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-11,,2020-12-11T09:55:23.357+0300
House Crow,Corvus splendens,989,2020-12-11,09:54,Seen,-3.302337,40.003642,,1,false,Alive,-18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-11,,2020-12-11T09:54:48.892+0300
Common Drongo,Dicrurus adsimilis,517,2020-12-11,09:36,Heard,-3.30029,40.005025,,1,false,Alive,-11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-11,,2020-12-11T09:36:48.001+0300
Olive Sunbird,Cyanomitra olivacea,766,2020-12-11,09:35,Heard,-3.300122,40.005022,,1,false,Alive,-10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-11,,2020-12-11T09:35:58.241+0300
Little Swift,Apus affinis,385,2020-12-11,09:30,Seen,-3.299168,40.005608,,1,false,Alive,-8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-11,,2020-12-11T09:30:24.936+0300
Yellow-fronted Canary,Crithagra mozambica,859,2020-12-11,09:28,Heard,-3.299156,40.006108,,1,false,Alive,-13,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-11,,2020-12-11T09:28:41.298+0300
Northern Brownbul,Phyllastrephus strepitans,3024,2020-12-11,09:28,Heard,-3.299154,40.006149,,1,false,Alive,-13,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-11,,2020-12-11T09:28:27.794+0300
African Palm Swift,Cypsiurus parvus,387,2020-12-11,09:27,Seen,-3.299163,40.006324,,1,false,Alive,-12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-11,,2020-12-11T09:27:55.152+0300
Black-crowned Tchagra,Tchagra senegalus,715,2020-12-11,09:26,Heard,-3.299106,40.006736,,1,false,Alive,-19,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-11,,2020-12-11T09:26:17.174+0300
Grey-backed Camaroptera,Camaroptera brachyura brevicaudata/tincta/abessinica/insulata/erlangeri/griseigula/intercalata/sharpei/transitiva/beirensis,628,2020-12-11,09:19,Heard,-3.299033,40.008467,,1,false,Alive,-16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-11,,2020-12-11T09:19:08.035+0300
White-browed Robin Chat,Cossypha heuglini,580,2020-12-11,09:18,Heard,-3.299061,40.008471,,1,false,Alive,-16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-11,,2020-12-11T09:18:49.627+0300
Northern Grey-headed Sparrow (Parrot-billed),Passer griseus gongonensis,3834,2020-12-11,09:17,Heard,-3.299105,40.008673,,1,false,Alive,-13,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-11,,2020-12-11T09:17:53.755+0300
Emerald-spotted Wood Dove,Turtur chalcospilos,321,2020-12-11,09:17,Heard,-3.299077,40.008769,,1,false,Alive,-1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-11,,2020-12-11T09:17:20.176+0300
Tawny-flanked Prinia,Prinia subflava,649,2020-12-11,09:14,Heard,-3.299098,40.009497,,1,false,Alive,-1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-12-11,,2020-12-11T09:14:41.223+0300
