Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Nest count,Nest count type,Nest site,At colony,Colony type,Colony description,ISO date
House Crow,Corvus splendens,989,2020-07-09,06:02,Heard,-3.361442,39.919132,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T06:02:31.543+0300
White-browed Scrub Robin,Cercotrichas leucophrys,588,2020-07-09,06:03,Heard,-3.361453,39.91913,,1,false,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T06:03:11.478+0300
Common Drongo,Dicrurus adsimilis,517,2020-07-09,06:03,Heard,-3.361465,39.919142,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T06:03:47.715+0300
Striped Kingfisher,Halcyon chelicuti,403,2020-07-09,06:06,Heard,-3.361747,39.918792,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T06:06:03.645+0300
Ring-necked Dove,Streptopelia capicola,316,2020-07-09,06:06,Heard,-3.361762,39.918784,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T06:06:35.259+0300
Common Bulbul,Pycnonotus barbatus,11491,2020-07-09,06:07,Heard,-3.361745,39.918825,,1,false,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T06:07:40.747+0300
Tawny-flanked Prinia,Prinia subflava,649,2020-07-09,06:11,Heard,-3.362233,39.9183,,1,false,Alive,14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T06:11:34.829+0300
Red-cheeked Cordon-bleu,Uraeginthus bengalus,3974,2020-07-09,06:14,Heard,-3.362985,39.918113,,1,false,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T06:14:54.099+0300
Black-crowned Tchagra,Tchagra senegalus,715,2020-07-09,06:15,Heard,-3.363056,39.918059,,1,false,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T06:15:34.885+0300
Amethyst Sunbird,Chalcomitra amethystina,772,2020-07-09,06:18,Heard,-3.363675,39.917911,,1,false,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0,Not specified,Not specified,Not specified,Not specified,Not specified,2020-07-09T06:18:05.227+0300
