Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Red-billed Quelea,Quelea quelea,805,2020-08-18,09:17,Seen,-3.320968,40.00002,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:17:37.237+0300
Speckled Mousebird,Colius striatus,390,2020-08-18,09:15,Seen,-3.321265,40.000098,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:15:42.023+0300
Pin-tailed Whydah,Vidua macroura,846,2020-08-18,09:14,Seen,-3.321272,40.000067,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:14:42.149+0300
Emerald-spotted Wood Dove,Turtur chalcospilos,321,2020-08-18,09:14,Seen,-3.321296,40.000089,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:14:16.195+0300
Golden Palm Weaver,Ploceus bojeri,3898,2020-08-18,09:11,Seen,-3.321652,40.00022,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:11:54.546+0300
African Bare-eyed Thrush,Turdus tephronotus,2750,2020-08-18,09:10,Heard,-3.321817,40.000205,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:10:57.887+0300
Northern Brownbul,Phyllastrephus strepitans,3024,2020-08-18,09:10,Heard,-3.321843,40.000207,,1,false,Alive,1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:10:45.465+0300
Yellowbill,Ceuthmochares aereus,1596,2020-08-18,09:10,Heard,-3.321823,40.000184,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:10:27.947+0300
Red-cheeked Cordon-bleu,Uraeginthus bengalus,3974,2020-08-18,09:10,Seen,-3.321798,40.000189,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:10:14.114+0300
Black-headed Oriole,Oriolus larvatus,521,2020-08-18,09:09,Heard,-3.321831,40.000196,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:09:59.846+0300
Black-backed Puffback,Dryoscopus cubla,712,2020-08-18,09:09,Seen,-3.321983,40.000222,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:09:50.403+0300
White-browed Robin Chat,Cossypha heuglini,580,2020-08-18,09:08,Heard,-3.322043,40.000218,,1,false,Alive,2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:08:46.967+0300
Pale Flycatcher,Bradornis pallidus,662,2020-08-18,09:07,Seen,-3.322264,40.000296,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:07:42.216+0300
Red-eyed Dove,Streptopelia semitorquata,314,2020-08-18,09:06,Heard,-3.322504,40.000296,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:06:30.927+0300
Black-crowned Tchagra,Tchagra senegalus,715,2020-08-18,09:06,Seen,-3.322713,40.000299,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:06:07.714+0300
White-browed Coucal,Centropus superciliosus,1036,2020-08-18,09:05,Seen,-3.322797,40.000258,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2020-08-18,,2020-08-18T09:05:16.917+0300
Unidentified,Unidentified,0,2020-08-18,10:00,Seen,-3.312022,39.999208,,1,false,Alive,-16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-08-18,,2020-08-18T10:00:18.222+0300
Amethyst Sunbird,Chalcomitra amethystina,772,2020-08-18,09:58,Seen,-3.312011,39.999205,,1,false,Alive,-3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-08-18,,2020-08-18T09:58:22.765+0300
Lizard Buzzard,Kaupifalco monogrammicus,144,2020-08-18,09:49,Seen,-3.314762,39.999011,,1,false,Alive,-1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-08-18,,2020-08-18T09:49:06.857+0300
