Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Mangrove Kingfisher,Mangrove Kingfisher,400,2020-05-18,10:22,Seen,-3.295795,39.996191,When I  first observed.It was first seen feeding ,1,false,Alive,-1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Introduced Vegetation:Other,Yes,Not specified,,Perched,Not specified,0315_3955_2020-05-18,,2020-05-18T10:22:43.655+0300
Mangrove Kingfisher,Mangrove Kingfisher,400,2020-05-18,10:14,Seen,-3.296065,39.996297,"Perched on a luceana tree,feeding on something  and then flew north.
Most probably perched on arucharia. tee",1,false,Alive,-18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T10:14:55.662+0300
Yellow-fronted Canary,Yellow-fronted Canary,859,2020-05-18,10:14,Seen,-3.296065,39.996297,,1,false,Alive,-18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T10:14:16.755+0300
African Harrier-Hawk,African Harrier Hawk,171,2020-05-18,10:10,Seen,-3.296054,39.996163,,1,false,Alive,1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T10:10:51.483+0300
Böhm's Spinetail,Böhm's Spinetailed Swift,389,2020-05-18,10:08,Seen,-3.296704,39.996014,,1,false,Alive,-2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T10:08:05.593+0300
African Goshawk,African Goshawk,160,2020-05-18,10:04,Seen,-3.296702,39.995789,,1,false,Alive,-14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T10:04:02.586+0300
Amethyst Sunbird,Amethyst Sunbird,772,2020-05-18,10:03,Seen,-3.296702,39.995789,,1,false,Alive,-14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T10:03:43.608+0300
Ethiopian Swallow,Ethiopian Swallow,2886,2020-05-18,10:03,Seen,-3.296702,39.995789,,1,false,Alive,-14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T10:03:19.928+0300
Yellow-rumped Tinkerbird,Yellow-rumped Tinkerbird,438,2020-05-18,09:58,Seen,-3.296701,39.995521,,1,false,Alive,-16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T09:58:39.913+0300
Ashy Flycatcher,Ashy Flycatcher,656,2020-05-18,09:58,Seen,-3.296701,39.995521,,1,false,Alive,-16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T09:58:18.338+0300
Long-crested Eagle,Long-crested Eagle,138,2020-05-18,08:46,Seen,-3.262607,39.997891,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:46:47.415+0300
Spotted Palm Thrush,Spotted Palm Thrush,2560,2020-05-18,08:44,Seen,-3.262628,39.996308,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:44:29.129+0300
Red-billed Quelea,Red-billed Quelea,805,2020-05-18,08:44,Seen,-3.262628,39.996308,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:44:00.161+0300
Pied Crow,Pied Crow,522,2020-05-18,08:41,Seen,-3.262748,39.993758,,1,false,Alive,14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:41:56.379+0300
Green-backed Woodpecker,Green-backed Woodpecker,449,2020-05-18,08:28,Seen,-3.265432,39.976967,,1,false,Alive,32,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:28:52.679+0300
African Paradise Flycatcher,African Paradise Flycatcher,682,2020-05-18,08:25,Seen,-3.267367,39.978861,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:25:56.206+0300
Black-headed Apalis,Black-headed Apalis,623,2020-05-18,08:19,Seen,-3.266759,39.978239,,1,false,Alive,22,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:19:59.822+0300
Jacobin Cuckoo,Jacobin Cuckoo,348,2020-05-18,08:19,Heard,-3.26661,39.978133,,1,false,Alive,23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:19:31.299+0300
Fischer's Greenbul,Fischer's Greenbul,2998,2020-05-18,08:19,Seen,-3.26643,39.977867,,1,false,Alive,39,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:19:00.218+0300
Violet-backed Starling,Violet-backed Starling,736,2020-05-18,08:17,Seen,-3.266074,39.977571,,1,false,Alive,27,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:17:55.631+0300
Grey-backed Camaroptera,Grey-backed Camaroptera,628,2020-05-18,08:17,Seen,-3.26584,39.977335,,1,false,Alive,30,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:17:03.715+0300
Olive Sunbird,Olive Sunbird,766,2020-05-18,08:15,Heard,-3.265458,39.976959,,1,false,Alive,26,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:15:59.239+0300
Grey-headed Kingfisher,Grey-headed Kingfisher,401,2020-05-18,08:15,Seen,-3.264612,39.976588,,1,false,Alive,23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:15:36.327+0300
Black-backed Puffback,Black-backed Puffback,712,2020-05-18,08:12,Seen,-3.264467,39.976594,,1,false,Alive,23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_3955_2020-05-18,,2020-05-18T08:12:24.314+0300
