Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Unidentified,Unidentified,0,2020-07-09,10:00,Seen,-3.352549,39.916518,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-09T10:00:32.626+0300
Black-and-white Mannikin,Spermestes bicolor,8090,2020-07-09,09:58,Seen,-3.352737,39.916168,,1,false,Alive,13,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-09T09:58:48.096+0300
Emerald-spotted Wood Dove,Turtur chalcospilos,321,2020-07-09,09:57,Seen,-3.352736,39.915689,,1,false,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-09T09:57:12.140+0300
House Crow,Corvus splendens,989,2020-07-09,09:55,Seen,-3.352968,39.915411,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-09T09:55:42.949+0300
Ring-necked Dove,Streptopelia capicola,316,2020-07-09,09:53,Seen,-3.35351,39.915545,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-09T09:53:34.927+0300
Striped Kingfisher,Halcyon chelicuti,403,2020-07-09,09:52,Heard,-3.353485,39.915584,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-09T09:52:58.921+0300
African Green Pigeon,Treron calvus,323,2020-07-09,09:49,Seen,-3.353616,39.915567,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-09T09:49:47.120+0300
Golden Palm Weaver,Ploceus bojeri,3898,2020-07-09,09:39,Seen,-3.355016,39.913671,,1,false,Alive,10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-09T09:39:02.626+0300
Bronze Mannikin,Spermestes cucullata,823,2020-07-09,09:36,Seen,-3.354807,39.912742,,1,false,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-09T09:36:01.731+0300
Amethyst Sunbird,Chalcomitra amethystina,772,2020-07-09,09:35,Heard,-3.354792,39.912535,,1,false,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-09T09:35:20.616+0300
Village Weaver,Ploceus cucullatus,797,2020-07-09,09:35,Heard,-3.354818,39.912506,,1,false,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-09T09:35:13.468+0300
White-browed Coucal,Centropus superciliosus,1036,2020-07-09,09:34,Heard,-3.35483,39.912434,,1,false,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-09T09:34:27.218+0300
Olive Sunbird,Cyanomitra olivacea,766,2020-07-09,09:27,Seen,-3.354283,39.909856,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-09T09:27:58.041+0300
Ring-necked Dove,Streptopelia capicola,316,2020-07-09,09:25,Seen,-3.354059,39.908959,,1,false,Alive,18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-09T09:25:50.797+0300
Collared Sunbird,Hedydipna collaris,771,2020-07-09,09:24,Heard,-3.35403,39.908801,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-07-09,,2020-07-09T09:24:40.068+0300
