Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
White-browed Coucal,Centropus superciliosus,1036,2020-11-05,07:30,Seen,-3.417545,39.956146,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0325_3955_2020-11-05,,2020-11-05T07:30:28.875+0300
Pied Crow,Corvus albus,522,2020-11-05,07:28,Seen,-3.417508,39.955682,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0325_3955_2020-11-05,,2020-11-05T07:28:20.271+0300
White-browed Robin Chat,Cossypha heuglini,580,2020-11-05,07:23,Heard,-3.417075,39.955066,,1,false,Alive,3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0325_3955_2020-11-05,,2020-11-05T07:23:57.755+0300
Unidentified,Unidentified,0,2020-11-03,10:00,Seen,-3.387437,39.916246,,1,false,Alive,-10,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-11-02,,2020-11-03T10:00:03.987+0300
Unidentified,Unidentified,0,2020-11-03,10:00,Seen,-3.387439,39.916262,,1,false,Alive,13,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-11-02,,2020-11-03T10:00:03.448+0300
African Palm Swift,Cypsiurus parvus,387,2020-11-03,09:51,Seen,-3.385365,39.912348,,1,false,Alive,-8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-11-02,,2020-11-03T09:51:31.948+0300
African Palm Swift,Cypsiurus parvus,387,2020-11-03,09:51,Seen,-3.385322,39.912252,,1,false,Alive,25,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-11-02,,2020-11-03T09:51:17.679+0300
Grey-headed Kingfisher,Halcyon leucocephala,401,2020-11-03,09:48,Seen,-3.38461,39.910804,,1,false,Alive,34,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-11-02,,2020-11-03T09:48:16.763+0300
Grey-headed Kingfisher,Halcyon leucocephala,401,2020-11-03,09:48,Seen,-3.384637,39.910747,,1,false,Alive,-2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-11-02,,2020-11-03T09:48:15.681+0300
Black Kite (resident),Milvus migrans aegyptius/parasitus,129,2020-11-03,09:40,Seen,-3.38309,39.90703,,1,false,Alive,19,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3950_2020-11-02,,2020-11-03T09:40:19.222+0300
