Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
African Fish Eagle,Haliaeetus vocifer,149,2020-06-24,06:09,Heard,-3.350076,39.948415,,1,false,Alive,-24,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-06-21,,2020-06-24T06:09:49.554+0300
Greater Honeyguide,Indicator indicator,440,2020-06-23,16:17,Seen,-3.340943,39.953256,,1,false,Alive,-32,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-06-21,,2020-06-23T16:17:18.332+0300
Pale Batis,Batis soror,675,2020-06-23,16:15,Seen,-3.341071,39.95335,,1,false,Alive,-25,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-06-21,,2020-06-23T16:15:52.103+0300
Woolly-necked Stork,Ciconia episcopus,77,2020-06-23,15:37,Seen,-3.345703,39.955695,,1,false,Alive,-22,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-06-21,,2020-06-23T15:37:38.818+0300
Mombasa Woodpecker,Campethera mombassica,1366,2020-06-23,10:11,Seen,-3.349853,39.948271,,1,false,Alive,-27,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-06-21,,2020-06-23T10:11:36.812+0300
Black-backed Puffback,Dryoscopus cubla,712,2020-06-23,06:34,Heard,-3.340816,39.945444,,1,false,Alive,-18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-06-21,,2020-06-23T06:34:11.257+0300
East Coast Boubou,Laniarius sublacteus,7867,2020-06-23,06:17,Heard,-3.33835,39.943836,,1,false,Alive,-23,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-06-21,,2020-06-23T06:17:33.982+0300
Bearded Scrub Robin,Cercotrichas quadrivirgata,585,2020-06-23,06:17,Heard,-3.338264,39.943928,,1,false,Alive,-25,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-06-21,,2020-06-23T06:17:26.449+0300
Red-capped Robin-Chat,Cossypha natalensis,579,2020-06-22,10:15,Heard,-3.378119,39.988905,,1,false,Alive,-22,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-06-21,,2020-06-22T10:15:05.393+0300
Northern Brownbul,Phyllastrephus strepitans,3024,2020-06-21,16:03,Heard,-3.341697,39.949669,,1,false,Alive,-25,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-06-21,,2020-06-21T16:03:26.238+0300
Black Sparrowhawk,Accipiter melanoleucus,159,2020-06-21,16:02,Seen,-3.341678,39.949566,Great sparrow hawk,1,false,Alive,-33,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-06-21,,2020-06-21T16:02:58.464+0300
Unidentified,Unidentified,0,2020-06-21,11:26,Seen,-3.340197,39.94795,,1,false,Alive,-9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-06-21,,2020-06-21T11:26:13.458+0300
Lesser Striped Swallow,Cecropis abyssinica,503,2020-06-21,11:19,Seen,-3.339493,39.949104,,1,false,Alive,-24,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_3955_2020-06-21,,2020-06-21T11:19:24.275+0300
