"type","language","license","rightsHolder","ownerInstitutionCode","eventID","parentEventID","samplingProtocol","sampleSizeValue","sampleSizeUnit","eventDate","eventTime","eventRemarks","continent","country","countryCode","county","locality","geodeticDatum","footprintWKT","dynamicProperties"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","202005_20200519_08_JDK",202005,"Water Bird Count",23,"minutes","2020-05-19","08:13:00/09:16:00","rain. 30-40 minutes without birding","Africa","Kenya","KE","Kilifi","Kitsapu right","WGS84","LINESTRING (39.9951 -3.314976, 39.99703 -3.31385, 39.99722 -3.313784, 39.99769 -3.313639, 39.99776 -3.313661, 39.99825 -3.311988, 39.99829 -3.312017, 39.99831 -3.311992, 39.99842 -3.31344, 39.99891 -3.312209, 39.99893 -3.31221, 39.99898 -3.313945, 39.99901 -3.312017, 39.99903 -3.313807, 39.99907 -3.313343, 39.99907 -3.311985, 39.99914 -3.313344, 39.99919 -3.313348)","{gap: ""40"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","202005_20200519_10_JDK",202005,"Water Bird Count",71,"minutes","2020-05-19","10:15:00/11:26:00",,"Africa","Kenya","KE","Kilifi","Bin Hare","WGS84","LINESTRING (39.9653 -3.325782, 39.96535 -3.325848, 39.96591 -3.325358, 39.96611 -3.324975, 39.96702 -3.32504, 39.97 -3.323663, 39.97116 -3.32319, 39.97131 -3.322164, 39.97165 -3.322002, 39.97557 -3.321456, 39.97573 -3.321383, 39.97577 -3.321367, 39.97579 -3.321368)","{gap: ""0"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","202005_20200519_07_JDK",202005,"Water Bird Count",65,"minutes","2020-05-19","07:05:00/08:10:00",,"Africa","Kenya","KE","Kilifi","Bin Hare","WGS84","LINESTRING (39.97019 -3.31558, 39.97028 -3.315537, 39.97038 -3.315468, 39.97135 -3.315087, 39.97143 -3.315097, 39.97176 -3.314966, 39.97201 -3.314964, 39.97249 -3.31484, 39.97254 -3.314838, 39.9727 -3.314822, 39.97328 -3.314738, 39.97433 -3.314568, 39.97444 -3.314552, 39.9758 -3.314412, 39.97808 -3.314312, 39.97938 -3.314162, 39.98096 -3.314136, 39.98112 -3.314042, 39.98131 -3.314027, 39.98662 -3.313466, 39.9892 -3.312999, 39.98968 -3.312998, 39.98994 -3.312947, 39.99061 -3.312881, 39.99202 -3.312716, 39.9925 -3.312607, 39.99382 -3.312428, 39.99706 -3.312098, 39.99751 -3.312076, 39.99753 -3.312092, 39.99756 -3.312082, 39.99758 -3.312068, 39.99781 -3.312052)","{gap: ""0"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","202005_20200519_09_JDK",202005,"Water Bird Count",59,"minutes","2020-05-19","09:16:00/10:15:00","rain?","Africa","Kenya","KE","Kilifi","Magastone","WGS84","LINESTRING (39.98762 -3.318562, 39.98764 -3.318598, 39.98806 -3.31814, 39.98851 -3.317388, 39.98884 -3.316914, 39.98888 -3.316865, 39.9904 -3.316111, 39.9939 -3.315654, 39.99393 -3.31563, 39.9943 -3.315477, 39.99441 -3.315419, 39.99499 -3.315043, 39.99499 -3.315044, 39.99499 -3.31505, 39.995 -3.315092, 39.995 -3.315093, 39.99501 -3.315039, 39.99503 -3.31508, 39.9951 -3.314976)","{gap: ""0"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","202005_20200519_06_JDK",202005,"Water Bird Count",49,"minutes","2020-05-19","06:13:00/07:02:00",,"Africa","Kenya","KE","Kilifi","Bandacho","WGS84","LINESTRING (39.96609 -3.323593, 39.96611 -3.32357, 39.96619 -3.323472, 39.96642 -3.323328, 39.96654 -3.323234, 39.96667 -3.323125, 39.96674 -3.323087, 39.96674 -3.323075, 39.96703 -3.322913, 39.96712 -3.32291, 39.96714 -3.322896, 39.96725 -3.322841, 39.96742 -3.32193, 39.96769 -3.321172, 39.9677 -3.320859, 39.96772 -3.320826, 39.96776 -3.322271, 39.96778 -3.322269, 39.96781 -3.322253, 39.96783 -3.322318, 39.96784 -3.322554, 39.96798 -3.32038, 39.96799 -3.32036, 39.96803 -3.320281, 39.96813 -3.320179, 39.96827 -3.319925, 39.96849 -3.319671, 39.96878 -3.319535, 39.96911 -3.316156, 39.96912 -3.316921, 39.96915 -3.316921, 39.96917 -3.317046, 39.9692 -3.316066, 39.96921 -3.317029, 39.96923 -3.317104, 39.96942 -3.319213, 39.9695 -3.319197, 39.96973 -3.318635, 39.96978 -3.318704)","{gap: ""0"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","202005_20200520_06_JD",202005,"Water Bird Count",69,"minutes","2020-05-20","06:06:00/07:15:00",,"Africa","Kenya","KE","Kilifi","Simion","WGS84","LINESTRING (39.9506 -3.333342, 39.95138 -3.332622, 39.95197 -3.332052, 39.95292 -3.331356, 39.9532 -3.331171, 39.95323 -3.331119, 39.95417 -3.330619, 39.95629 -3.329509, 39.95761 -3.328909, 39.95791 -3.328793, 39.95815 -3.328704, 39.95819 -3.328688, 39.9589 -3.328357, 39.95994 -3.328139, 39.95999 -3.328125, 39.96 -3.328126, 39.96122 -3.327826, 39.96172 -3.327777, 39.96184 -3.327748, 39.96184 -3.32775, 39.96374 -3.326156, 39.96384 -3.325856, 39.96399 -3.325568, 39.96436 -3.325318, 39.96445 -3.325309, 39.96463 -3.325254, 39.96475 -3.325204, 39.96497 -3.325013, 39.96531 -3.324987, 39.96533 -3.325015, 39.96534 -3.325068, 39.9654 -3.325217, 39.96543 -3.325323, 39.96547 -3.325355, 39.96547 -3.325354, 39.96549 -3.325411)","{gap: ""0"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","202005_20200520_07_K",202005,"Water Bird Count",67,"minutes","2020-05-20","07:01:00/08:08:00",,"Africa","Kenya","KE","Kilifi","Mida Primary","WGS84","LINESTRING (39.93739 -3.350808, 39.9374 -3.350877, 39.93744 -3.350487, 39.93744 -3.350487, 39.93747 -3.349458, 39.93748 -3.350725, 39.93749 -3.349878, 39.93749 -3.34988, 39.9375 -3.349217, 39.9375 -3.350136, 39.9375 -3.349709, 39.9375 -3.349438, 39.93751 -3.349822, 39.93751 -3.3498, 39.93753 -3.349306, 39.93753 -3.349316, 39.93753 -3.349582, 39.93755 -3.350104, 39.93762 -3.349019, 39.93772 -3.349048, 39.93776 -3.350155, 39.93778 -3.349157, 39.93778 -3.349143, 39.93779 -3.349147, 39.938 -3.349184, 39.93923 -3.348109, 39.9404 -3.347681, 39.94043 -3.34767, 39.94099 -3.347563, 39.9418 -3.34763, 39.94197 -3.347662, 39.94198 -3.347682, 39.94236 -3.347665, 39.94426 -3.347019, 39.94653 -3.348384, 39.94654 -3.348396, 39.94656 -3.34839, 39.94656 -3.348385)","{gap: ""0"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","202005_20200520_08_K",202005,"Water Bird Count",65,"minutes","2020-05-20","08:08:00/09:13:00",,"Africa","Kenya","KE","Kilifi","Mida Primary","WGS84","LINESTRING (39.94653 -3.348384, 39.94654 -3.348392, 39.94655 -3.348387, 39.94655 -3.348387, 39.94656 -3.348438, 39.9466 -3.348455, 39.94665 -3.348495, 39.94756 -3.348784, 39.94757 -3.348787, 39.94768 -3.348932, 39.94778 -3.34886, 39.94815 -3.348861, 39.94817 -3.349454, 39.94821 -3.349424, 39.94833 -3.349122, 39.9484 -3.349121, 39.94914 -3.349494, 39.94954 -3.349349, 39.94954 -3.349349, 39.94955 -3.349347, 39.94973 -3.349118, 39.94984 -3.348674, 39.94986 -3.34867, 39.94989 -3.348677)","{gap: ""0"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","202005_20200520_06_K",202005,"Water Bird Count",65,"minutes","2020-05-20","05:56:00/07:01:00",,"Africa","Kenya","KE","Kilifi","Mida Primary","WGS84","LINESTRING (39.938 -3.349184, 39.9385 -3.348711, 39.93995 -3.347746, 39.94074 -3.347615, 39.94121 -3.347606, 39.94145 -3.34762, 39.94164 -3.347633, 39.9432 -3.347473, 39.94349 -3.347327, 39.9438 -3.347176, 39.94566 -3.346388, 39.94568 -3.34625, 39.9457 -3.346197, 39.9457 -3.346202, 39.94603 -3.346003, 39.94633 -3.346076, 39.9471 -3.345878, 39.9471 -3.345429, 39.94712 -3.345735, 39.94716 -3.341469, 39.9472 -3.342494, 39.94721 -3.343634, 39.94723 -3.341795, 39.94726 -3.343202, 39.94738 -3.340986, 39.94742 -3.340943, 39.94743 -3.341359, 39.94745 -3.340746, 39.94756 -3.34059, 39.94758 -3.340596, 39.94775 -3.340159, 39.94779 -3.340137, 39.94779 -3.340145, 39.94781 -3.340137, 39.94781 -3.340185, 39.94786 -3.340054, 39.94786 -3.340057, 39.94787 -3.34007)","{gap: ""0"", }"
"Event","en","http://creativecommons.org/publicdomain/zero/1.0/legalcode","A Rocha Kenya","ARK","202005_20200520_07_JD",202005,"Water Bird Count",62,"minutes","2020-05-20","07:15:00/08:17:00",,"Africa","Kenya","KE","Kilifi","Simion","WGS84","LINESTRING (39.94127 -3.341038, 39.94335 -3.338798, 39.94374 -3.338402, 39.94381 -3.33832, 39.94498 -3.337126, 39.94515 -3.336903, 39.94518 -3.336897, 39.94527 -3.336816, 39.94533 -3.336747, 39.94534 -3.336748, 39.94534 -3.336757, 39.94593 -3.33605, 39.94608 -3.336008, 39.94665 -3.335439, 39.94694 -3.334985, 39.94699 -3.33477, 39.94702 -3.334735, 39.94702 -3.334685, 39.94704 -3.334268, 39.94892 -3.333804, 39.949 -3.333785, 39.94924 -3.333745, 39.94925 -3.333756, 39.94928 -3.333739, 39.94955 -3.333718, 39.94956 -3.333712, 39.94959 -3.333722, 39.94964 -3.333724, 39.94971 -3.333732, 39.94989 -3.333721, 39.95034 -3.333582, 39.95036 -3.333543, 39.95044 -3.33347, 39.9506 -3.333342)","{gap: ""0"", }"
